date flow_ft3_s po4_mg_L Daily_Load_MTD
9/28/2013 94.3 0.15136 0.034923783
9/29/2013 91.2 0.15187 0.033889511
9/30/2013 89.8 0.15182 0.033358291
10/1/2013 88.5 0.15175 0.032860218
10/2/2013 87.6 0.15154 0.032481035
10/3/2013 87.6 0.15095 0.032354575
10/4/2013 107 0.14473 0.037891414
10/5/2013 119 0.14245 0.041477053
10/6/2013 161 0.14157 0.05576935
10/7/2013 223 0.1483 0.080917878
10/8/2013 214 0.14633 0.076620612
10/9/2013 177 0.14116 0.061134081
10/10/2013 145 0.13871 0.049212366
10/11/2013 115 0.13954 0.039264044
10/12/2013 103 0.14101 0.035537397
10/13/2013 97.4 0.14181 0.033795921
10/14/2013 106 0.13927 0.036121179
10/15/2013 108 0.13835 0.036559596
10/16/2013 102 0.13897 0.034683243
10/17/2013 120 0.13568 0.039837819
10/18/2013 157 0.13472 0.051752365
10/19/2013 150 0.13389 0.049140308
10/20/2013 162 0.13391 0.05307946
10/21/2013 138 0.13268 0.044800517
10/22/2013 145 0.13217 0.046892066
10/23/2013 159 0.13213 0.051404014
10/24/2013 152 0.13129 0.048828537
10/25/2013 134 0.13062 0.042826536
10/26/2013 126 0.13041 0.040204986
10/27/2013 155 0.12983 0.049238547
10/28/2013 157 0.12941 0.049712541
10/29/2013 148 0.12857 0.046558591
10/30/2013 125 0.12841 0.039274199
10/31/2013 126 0.12784 0.039412663
11/1/2013 291 0.14564 0.103698418
11/2/2013 309 0.14852 0.112290209
11/3/2013 284 0.14321 0.099515369
11/4/2013 176 0.12715 0.054755469
11/5/2013 159 0.1255 0.048824671
11/6/2013 139 0.12451 0.042346498
11/7/2013 153 0.12427 0.046521767
11/8/2013 167 0.12453 0.050884901
11/9/2013 166 0.124 0.050364931
11/10/2013 155 0.12295 0.046629279
11/11/2013 147 0.12224 0.043967234
11/12/2013 195 0.12518 0.059726633
11/13/2013 187 0.12389 0.056686068
11/14/2013 173 0.12221 0.051731053
11/15/2013 145 0.12043 0.042726878
11/16/2013 129 0.12018 0.037933279
11/17/2013 122 0.12013 0.035859958
11/18/2013 152 0.11931 0.044373012
11/19/2013 158 0.11913 0.046054991
11/20/2013 139 0.11829 0.040231044
11/21/2013 118 0.11879 0.034297334
11/22/2013 121 0.11814 0.034976859
11/23/2013 161 0.11767 0.046354308
11/24/2013 153 0.11694 0.043777705
11/25/2013 130 0.1165 0.037056786
11/26/2013 107 0.11814 0.03092995
11/27/2013 110 0.11734 0.031581826
11/28/2013 125 0.11561 0.035359319
