FID_USGSCl,STIS_depth,Event_Code,Station_Co,Latitude,Longitude,Collection,Collecti_1,LAKE,SampleDept,RESEARCH_P,Site_Depth,Strat_Unst,Depths_m,NH4_ug_NL,Nox_ug_NL,SRP_ug_PL,TN_ug_NL,TP_ug_PL,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_Layer
70,,USGSOOL3_20180820_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,8/20/2018,20180820,Ontario,,USGS-Cladophora,3,,1.00000000000,22.7,208,,417,6,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,2
71,,USGSOOL3_20180820_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,8/20/2018,20180820,Ontario,,USGS-Cladophora,3,,2.90000000000,32.8,225,,919,41,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,3
94,,USGSOOL3_20181003_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,10/3/2018,20181003,Ontario,,USGS-Cladophora,3,,1.00000000000,30.3,240,,435,7,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,2
95,,USGSOOL3_20181003_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,10/3/2018,20181003,Ontario,,USGS-Cladophora,3,,2.90000000000,32.4,245,,461,9,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,3
4,,USGSOOL6_20180522_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,6,,1.00000000000,22.5,245,,433,5,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,2
5,,USGSOOL6_20180522_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,6,,5.90000000000,31.7,234,,440,12,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,5
24,,USGSOOL6_20180619_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,6/19/2018,20180619,Ontario,,USGS-Cladophora,6,,1.00000000000,19.2,160,,383,5,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,2
25,,USGSOOL6_20180619_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,6/19/2018,20180619,Ontario,,USGS-Cladophora,6,,5.90000000000,15.9,161,,356,5,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,5
48,,USGSOOL6_20180724_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,7/24/2018,20180724,Ontario,,USGS-Cladophora,6,,1.00000000000,42,177,,382,8,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,2
49,,USGSOOL6_20180724_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,7/24/2018,20180724,Ontario,,USGS-Cladophora,6,,5.90000000000,15.5,151,,378,8,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,5
