FID_GLENDA,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_,LATITUDE,LONGITUDE,SAMPLING_D,TIME_ZONE,SAMPLE_DEP,DEPTH_CODE,MEDIUM,SAMPLE_TYP,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REM,ANL_CODE_2,ANALYTE_2,TP,UNITS_2,FRACTION_2,METHOD_2,RESULT_R_1,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_layer
23,24,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,183.1,Bottom Minus 10,surface water,INSITU_MEAS,routine field sample,13GO23S10,P-tot,"Phosphorus, Total as P",2.728,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.473,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,10
24,25,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,191.2,Bottom Minus,surface water,INSITU_MEAS,routine field sample,13GO23S11,P-tot,"Phosphorus, Total as P",4.014,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.596,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,10
64,65,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,0,"Integrated, Summer",surface water,INSITU_MEAS,routine field sample,13GO57I72,P-tot,"Phosphorus, Total as P",2.035,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.796,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
72,73,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,1.8,Surface,surface water,INSITU_MEAS,routine field sample,13GO57S61,P-tot,"Phosphorus, Total as P",2.881,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.813,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
73,74,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,8,Mid Epilimnion,surface water,INSITU_MEAS,routine field sample,13GO57S62,P-tot,"Phosphorus, Total as P",1.897,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.198,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
74,75,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,16,Lower Epilimnion,surface water,INSITU_MEAS,routine field sample,13GO57S63,P-tot,"Phosphorus, Total as P",2.146,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",6.015,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
75,76,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,19.9,Thermocline,surface water,INSITU_MEAS,routine field sample,13GO57S64,P-tot,"Phosphorus, Total as P",1.556,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",6.213,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,2
76,77,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,40,Forty Meter,surface water,INSITU_MEAS,routine field sample,13GO57S66,P-tot,"Phosphorus, Total as P",2.161,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",3.066,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,3
77,78,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,50,Fifty Meter,surface water,INSITU_MEAS,routine field sample,13GO57S67,P-tot,"Phosphorus, Total as P",1.733,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",2.486,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,3
78,79,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,100.1,One Hundred Meter,surface water,INSITU_MEAS,routine field sample,13GO57S68,P-tot,"Phosphorus, Total as P",3.361,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",3.764,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,6
