FID_LOLA20,Date,Lat,Long,I,J,Depth_m,TP_ug_L,Site,Sta_depth_,Field10,Field11,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
216,9/10/2013,43.36000000000,-78.73000000000,,,15.00000000000,6.29800000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,5,
217,9/10/2013,43.36000000000,-78.73000000000,,,24.00000000000,4.69200000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,8,
109,7/12/2013,43.31400000000,-76.99900000000,,,0.00000000000,8.04700000000,95,0.00000000000,,,11478,4.04400000000e+003,"(206,66)",206,66,-3.92941e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.188133,,5.188133,0,,206-66,3.94860000000,206,66,206-66,39.48600000000,10,1,
110,7/12/2013,43.31400000000,-76.99900000000,,,0.00000000000,9.52000000000,95,0.00000000000,,,11478,4.04400000000e+003,"(206,66)",206,66,-3.92941e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.188133,,5.188133,0,,206-66,3.94860000000,206,66,206-66,39.48600000000,10,1,
111,7/12/2013,43.31400000000,-76.99900000000,,,0.00000000000,5.62300000000,95,0.00000000000,,,11478,4.04400000000e+003,"(206,66)",206,66,-3.92941e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.188133,,5.188133,0,,206-66,3.94860000000,206,66,206-66,39.48600000000,10,1,
59,5/23/2013,43.33000000000,-77.44000000000,,,97.00000000000,4.90700000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,10,
60,5/23/2013,43.33000000000,-77.44000000000,,,5.00000000000,5.91200000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,1,
61,5/23/2013,43.33000000000,-77.44000000000,,,80.00000000000,5.87400000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,9,
62,5/23/2013,43.33000000000,-77.44000000000,,,20.00000000000,5.69700000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,3,
165,7/21/2013,43.33000000000,-77.44000000000,,,5.00000000000,3.44400000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,1,
166,7/21/2013,43.33000000000,-77.44000000000,,,100.00000000000,5.35800000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,10,
167,7/21/2013,43.33000000000,-77.44000000000,,,27.00000000000,4.82400000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,4,
168,7/21/2013,43.33000000000,-77.44000000000,,,159.00000000000,5.28100000000,58,0.00000000000,,,9499,2.81900000000e+003,"(181,59)",181,59,-8.94659e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.924602,,4.924602,0,,181-59,8.96580000000,181,59,181-59,89.65800000000,10,10,
29,5/21/2013,43.38360000000,-79.28530000000,,,5.00000000000,7.41000000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,1,
30,5/21/2013,43.38360000000,-79.28530000000,,,60.00000000000,4.98100000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,6,
31,5/21/2013,43.38360000000,-79.28530000000,,,25.00000000000,6.02100000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,3,
32,5/21/2013,43.38360000000,-79.28530000000,,,104.00000000000,4.98200000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,10,
92,7/8/2013,43.38360000000,-79.28530000000,,,0.00000000000,5.24600000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,1,
93,7/8/2013,43.38360000000,-79.28530000000,,,0.00000000000,10.88900000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,1,
94,7/8/2013,43.38360000000,-79.28530000000,,,0.00000000000,4.83300000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,1,
95,7/8/2013,43.38360000000,-79.28530000000,,,0.00000000000,8.20000000000,19,106.30000000000,,,1314,7.17000000000e+003,"(58,83)",58,83,-1.07564e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.780319,,4.780319,0,,58-83,10.77560000000,58,83,58-83,107.75600000000,10,1,
53,5/22/2013,43.33310000000,-76.83920000000,,,14.00000000000,5.00000000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,9,
54,5/22/2013,43.33310000000,-76.83920000000,,,5.00000000000,4.27600000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,3,
194,7/22/2013,43.33310000000,-76.83920000000,,,5.00000000000,5.35300000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,3,
195,7/22/2013,43.33310000000,-76.83920000000,,,11.00000000000,5.34300000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,7,
255,9/12/2013,43.33310000000,-76.83920000000,,,5.00000000000,7.12000000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,3,
256,9/12/2013,43.33310000000,-76.83920000000,,,15.10000000000,7.50400000000,66,17.60000000000,,,12036,4.93000000000e+003,"(214,71)",214,71,-1.72970e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.900983,,6.900983,0,,214-71,1.74890000000,214,71,214-71,17.48900000000,10,9,
1,5/20/2013,43.38330000000,-77.98940000000,,,17.00000000000,7.44300000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,9,
2,5/20/2013,43.38330000000,-77.98940000000,,,5.00000000000,7.00000000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,3,
3,5/20/2013,43.38330000000,-77.98940000000,,,12.00000000000,5.40000000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,6,
137,7/20/2013,43.38330000000,-77.98940000000,,,16.00000000000,3.01900000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,8,
138,7/20/2013,43.38330000000,-77.98940000000,,,5.00000000000,3.64900000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,3,
218,9/11/2013,43.38330000000,-77.98940000000,,,5.00000000000,8.57400000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,3,
219,9/11/2013,43.38330000000,-77.98940000000,,,16.00000000000,7.64400000000,38,18.80000000000,,,6661,3.12600000000e+003,"(148,61)",148,61,-2.08395e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.405596,,6.405596,0,,148-61,2.10320000000,148,61,148-61,21.03200000000,10,8,
129,7/19/2013,43.46000000000,-78.76000000000,,,128.00000000000,3.32700000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,10,
130,7/19/2013,43.46000000000,-78.76000000000,,,5.00000000000,2.44600000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,1,
131,7/19/2013,43.46000000000,-78.76000000000,,,90.00000000000,1.95800000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,7,
132,7/19/2013,43.46000000000,-78.76000000000,,,23.00000000000,3.70100000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,2,
211,9/10/2013,43.46000000000,-78.76000000000,,,5.00000000000,6.70200000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,1,
212,9/10/2013,43.46000000000,-78.76000000000,,,100.00000000000,4.57200000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,8,
213,9/10/2013,43.46000000000,-78.76000000000,,,25.00000000000,6.00400000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,2,
214,9/10/2013,43.46000000000,-78.76000000000,,,134.00000000000,5.59800000000,34,0.00000000000,,,3612,6.34900000000e+003,"(97,79)",97,79,-1.41000e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.681736,,4.681736,0,,97-79,14.11920000000,97,79,97-79,141.19200000000,10,10,
49,5/22/2013,43.42330000000,-76.88330000000,,,149.00000000000,6.16600000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,10,
50,5/22/2013,43.42330000000,-76.88330000000,,,5.00000000000,5.53500000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,1,
51,5/22/2013,43.42330000000,-76.88330000000,,,60.00000000000,4.53900000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,5,
52,5/22/2013,43.42330000000,-76.88330000000,,,20.00000000000,5.18300000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,2,
190,7/22/2013,43.42330000000,-76.88330000000,,,5.00000000000,7.99100000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,1,
191,7/22/2013,43.42330000000,-76.88330000000,,,100.00000000000,4.16200000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,8,
192,7/22/2013,43.42330000000,-76.88330000000,,,22.00000000000,6.67100000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,2,
193,7/22/2013,43.42330000000,-76.88330000000,,,151.00000000000,6.18300000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,10,
251,9/12/2013,43.42330000000,-76.88330000000,,,5.00000000000,6.08200000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,1,
252,9/12/2013,43.42330000000,-76.88330000000,,,90.00000000000,5.30500000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,7,
253,9/12/2013,43.42330000000,-76.88330000000,,,38.00000000000,3.90200000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,3,
254,9/12/2013,43.42330000000,-76.88330000000,,,145.00000000000,7.06100000000,65,146.60000000000,,,11920,6.06100000000e+003,"(212,77)",212,77,-1.42238e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.085376,,5.085376,0,,212-77,14.24300000000,212,77,212-77,142.43000000000,10,10,
55,5/23/2013,43.44310000000,-77.43810000000,,,198.00000000000,6.48900000000,55,192.00000000000,,,9416,6.22900000000e+003,"(180,78)",180,78,-1.95108e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.834577,,4.834577,0,,180-78,19.53000000000,180,78,180-78,195.30000000000,10,10,
