FID_WQchem,OBJECTID,OBJECTID2,EventCode,StationCod,Collection,Collecti_1,SiteDepth,Stratifica,SampleDept,Depths,TotalPhosp,Chloride_m,Project,STISdepth,Comments,_LAKE,FID_,StationNam,StationC_1,Transect,Lake,Year,Project_1,stat_Depth,LatitudeDD,LongitudeD,Notes,STIS__,SITE,STATION,PROJECT_12,DAT,SiteDep,blk_dup,Strat_,Epi_Dep,up_dept,lw_dpth,Ave_dep,TP_ug,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
146,154,162,stn9_20180725_D_LEII,stn9,7/25/2018,20180725,59.00000000000,no data,40M/ DCL,,1.61000000000,23.12,LOLA/CSMI,8171-5,,Ontario,211,Station 9,stn9,1,Ontario,2018,CSMI,58.00000000000,43.58670000000,-79.39500000000,,8171-5,0,40M/ DCL,LOLA/CSMI,7/25/2018,59.00000000000,,,,30.00000000000,30.00000000000,30.00000000000,1.61000000000,1332,1.11920000000e+004,"(58,101)",58,101,-6.03499e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.952535,,5.952535,0,,58-101,6.05420000000,58,101,58-101,60.54200000000,10,5,
147,155,163,stn9_20180725_D_LEII,stn9,7/25/2018,20180725,59.00000000000,no data,B2/ Hypo,,5.47000000000,23.08,LOLA/CSMI,8171-7,,Ontario,211,Station 9,stn9,1,Ontario,2018,CSMI,58.00000000000,43.58670000000,-79.39500000000,,8171-7,0,B2/ Hypo,LOLA/CSMI,7/25/2018,59.00000000000,,,,57.50000000000,57.50000000000,57.50000000000,5.47000000000,1332,1.11920000000e+004,"(58,101)",58,101,-6.03499e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.952535,,5.952535,0,,58-101,6.05420000000,58,101,58-101,60.54200000000,10,10,
9,9,9,stn33_20180521_D_LG,stn33,5/21/2018,20180521,135.70000000000,Unstrat,2M-INT,"2, 10, 20, 67.9, 133.7",7.45000000000,22.87,LOLA/CSMI,8003-1,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8003-1,33,2M-INT,LOLA/CSMI,5/21/2018,135.70000000000,,Unstrat,"2, 10, 20, 67.9, 133.7",2.00000000000,20.00000000000,11.00000000000,7.45000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,1,
10,10,10,stn33_20180521_D_LG,stn33,5/21/2018,20180521,135.70000000000,Unstrat,40M/ DCL,,6.59000000000,22.82,LOLA/CSMI,8003-5,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8003-5,33,40M/ DCL,LOLA/CSMI,5/21/2018,135.70000000000,,,,67.90000000000,67.90000000000,67.90000000000,6.59000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,5,
11,11,11,stn33_20180521_D_LG,stn33,5/21/2018,20180521,135.70000000000,Unstrat,B2/ Hypo,,6.30000000000,23.01,LOLA/CSMI,8003-7,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8003-7,33,B2/ Hypo,LOLA/CSMI,5/21/2018,135.70000000000,,,,133.70000000000,133.70000000000,133.70000000000,6.30000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,10,
71,72,75,stn33_20180619_D_LG,stn33,6/19/2018,20180619,135.70000000000,Strat,2M-INT,"2, 5, 23, 133.7",8.09000000000,23.47,LOLA/CSMI,8043-1,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8043-1,33,2M-INT,LOLA/CSMI,6/19/2018,135.70000000000,,Strat,"2, 5, 23, 133.7",2.00000000000,5.00000000000,3.50000000000,8.09000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,1,
72,73,76,stn33_20180619_D_LG,stn33,6/19/2018,20180619,135.70000000000,Strat,40M/ DCL,,11.40000000000,23.15,LOLA/CSMI,8043-5,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8043-5,33,40M/ DCL,LOLA/CSMI,6/19/2018,135.70000000000,,,,23.00000000000,23.00000000000,23.00000000000,11.40000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,2,
73,74,77,stn33_20180619_D_LG,stn33,6/19/2018,20180619,135.70000000000,Strat,B2/ Hypo,,6.18000000000,23.24,LOLA/CSMI,8043-7,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8043-7,33,B2/ Hypo,LOLA/CSMI,6/19/2018,135.70000000000,,,,133.70000000000,133.70000000000,133.70000000000,6.18000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,10,
129,133,140,stn33_20180726_D_LEII,stn33,7/26/2018,20180726,29.00000000000,0,2M-INT,,10.50000000000,22.24,LOLA/CSMI,8158-1,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8158-1,0,2M-INT,LOLA/CSMI,7/26/2018,29.00000000000,,,"2, 6, 8, 15, 131.7",2.00000000000,8.00000000000,5.00000000000,10.50000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,1,
130,134,141,stn33_20180726_D_LEII,stn33,7/26/2018,20180726,141.60000000000,0,40M/ DCL,"2, 5, 7, 11, 14, 25, 131.5",12.70000000000,22.39,LOLA/CSMI,8158-5,,Ontario,143,Station 33,stn33,2,Ontario,2018,CSMI,138.00000000000,43.59640000000,-78.81440000000,,8158-5,0,40M/ DCL,LOLA/CSMI,7/26/2018,141.60000000000,,no data,,15.00000000000,15.00000000000,15.00000000000,12.70000000000,3623,8.83500000000e+003,"(97,90)",97,90,-1.38455e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.813006,,4.813006,0,,97-90,13.86470000000,97,90,97-90,138.64700000000,10,2,
