"t","TP_conc","TP_conc_ug_L","mass_settled_kg"
2881,5.61811444181677e-06,5.61811444181677,8463.18916353023
2882,5.61810361971477e-06,5.61810361971477,8463.17286099717
2883,5.61809281218465e-06,5.61809281218465,8463.15658041537
2884,5.61808201920681e-06,5.61808201920681,8463.14032175526
2885,5.61807124076164e-06,5.61807124076164,8463.12408498734
2886,5.61806047682958e-06,5.61806047682958,8463.10787008213
2887,5.61804972739108e-06,5.61804972739108,8463.09167701017
2888,5.61803899242664e-06,5.61803899242664,8463.07550574209
2889,5.61802827191676e-06,5.61802827191676,8463.05935624852
2890,5.61801756584197e-06,5.61801756584197,8463.04322850014
2891,5.61800687418285e-06,5.61800687418285,8463.02712246766
2892,5.61799619691998e-06,5.61799619691998,8463.01103812186
2893,5.61798553403397e-06,5.61798553403397,8462.99497543353
2894,5.61797488550547e-06,5.61797488550547,8462.9789343735
2895,5.61796425131515e-06,5.61796425131515,8462.96291491266
2896,5.61795363144369e-06,5.61795363144369,8462.94691702192
2897,5.61794302587183e-06,5.61794302587183,8462.93094067224
2898,5.6179324345803e-06,5.6179324345803,8462.91498583461
2899,5.61792185754988e-06,5.61792185754988,8462.89905248007
2900,5.61791129476136e-06,5.61791129476136,8462.88314057969
2901,5.61790074619557e-06,5.61790074619557,8462.86725010458
2902,5.61789021183335e-06,5.61789021183335,8462.85138102589
2903,5.61787969165559e-06,5.61787969165559,8462.83553331482
2904,5.61786918564318e-06,5.61786918564318,8462.81970694259
2905,5.61785869377704e-06,5.61785869377704,8462.80390188046
2906,5.61784821603814e-06,5.61784821603814,8462.78811809976
2907,5.61783775240745e-06,5.61783775240745,8462.77235557181
2908,5.61782730286597e-06,5.61782730286597,8462.75661426801
2909,5.61781686739473e-06,5.61781686739473,8462.74089415977
2910,5.61780644597478e-06,5.61780644597478,8462.72519521856
2911,5.61779603858721e-06,5.61779603858721,8462.70951741587
2912,5.61778564521312e-06,5.61778564521312,8462.69386072324
2913,5.61777526583365e-06,5.61777526583365,8462.67822511225
2914,5.61776490042994e-06,5.61776490042994,8462.66261055451
2915,5.61775454898318e-06,5.61775454898318,8462.64701702167
2916,5.61774421147458e-06,5.61774421147458,8462.63144448543
2917,5.61773388788536e-06,5.61773388788536,8462.61589291751
2918,5.6177235781968e-06,5.6177235781968,8462.60036228967
2919,5.61771328239016e-06,5.61771328239016,8462.58485257372
2920,5.61770300044677e-06,5.61770300044677,8462.56936374151
2921,5.61769273234794e-06,5.61769273234794,8462.55389576491
2922,5.61768247807504e-06,5.61768247807504,8462.53844861584
2923,5.61767223760946e-06,5.61767223760946,8462.52302226626
2924,5.6176620109326e-06,5.6176620109326,8462.50761668816
2925,5.61765179802589e-06,5.61765179802589,8462.49223185358
2926,5.6176415988708e-06,5.6176415988708,8462.47686773457
2927,5.6176314134488e-06,5.6176314134488,8462.46152430326
2928,5.61762124174141e-06,5.61762124174141,8462.44620153177
2929,5.61761108373016e-06,5.61761108373016,8462.4308993923
2930,5.61760093939661e-06,5.61760093939661,8462.41561785707
2931,5.61759080872233e-06,5.61759080872233,8462.40035689832
2932,5.61758069168895e-06,5.61758069168895,8462.38511648836
2933,5.61757058827808e-06,5.61757058827808,8462.36989659951
2934,5.6175604984714e-06,5.6175604984714,8462.35469720415
2935,5.61755042225057e-06,5.61755042225057,8462.33951827467
2936,5.61754035959731e-06,5.61754035959731,8462.32435978352
2937,5.61753031049335e-06,5.61753031049335,8462.30922170319
2938,5.61752027492044e-06,5.61752027492045,8462.29410400619
2939,5.61751025286037e-06,5.61751025286037,8462.27900666506
2940,5.61750024429494e-06,5.61750024429494,8462.26392965241
2941,5.61749024920598e-06,5.61749024920598,8462.24887294087
2942,5.61748026757534e-06,5.61748026757534,8462.23383650309
2943,5.61747029938491e-06,5.61747029938491,8462.21882031177
