"interval_number","vel1","vel2","vel3"
274,0.240310207730519,0.331181854726612,0.260578513158923
275,0.203941598128589,0.282018564030863,0.23406492867579
276,0.185115078694111,0.254174516356353,0.222507211417789
277,0.178442001738289,0.240953010003349,0.220007945911573
278,0.176945035328005,0.237188256601939,0.218410088444114
279,0.174005126050425,0.237604317704347,0.219393834265893
280,0.154205389274144,0.212677894522233,0.205905768210486
281,0.112186882252815,0.169337912633518,0.117306825134395
282,0.0820853641407245,0.133394843922421,0.0749083707735655
283,0.0685152962042154,0.114240441378507,0.0589873948789469
284,0.0602034308265645,0.106498794807281,0.05295847954528
285,0.0361023944020864,0.0813769811851938,0.046321112628674
286,0.0241652171282572,0.0670177567776032,0.0490646896130564
287,0.0158414909432464,0.0531095676937055,0.0477665970897706
288,0.0223462090417931,0.0588799936774526,0.0500474483480821
289,0.018135393712278,0.0507325774844723,0.0444099783470293
290,0.0105221061064601,0.0402690445514626,0.0367385086981265
291,0.00650254906231772,0.0357788595646815,0.0350867914561152
292,-0.00688291325270148,0.0186029457187763,0.0325113742970439
293,-0.023269852917719,0.000360122019757343,0.0334015109807621
294,-0.0421583813093937,-0.0227577041912538,0.0295035210375897
295,-0.0413844014974645,-0.0248459247291673,0.00998022784441529
296,-0.0271656387776751,-0.0173539961680066,0.00321052318691122
297,-0.0227563271073428,-0.012138579370724,0.00715630779982454
298,-0.0192486457704927,-0.00894171113116222,0.00934756028527678
299,-0.0189473364567213,-0.0121811230650937,0.00880459598121858
300,-0.02144829670273,-0.0179569478277487,0.00719061463096338
301,-0.0299277085368716,-0.0314450422669093,-0.0117238688018076
302,-0.0413424716711832,-0.0448198662264478,-0.0459652498666746
303,-0.0579654254005103,-0.0625705568505666,-0.0718513929905388
304,-0.0633858199637414,-0.0739591497856954,-0.0717533287048791
305,-0.0506235683674186,-0.0613277343835363,-0.0425762915316248
306,-0.0416569899112568,-0.0499297722494293,-0.014524180514821
307,-0.0376972608319845,-0.044621172206963,-0.00982602059914083
308,-0.0421431417034748,-0.0536401150936789,-0.0218730363684492
309,-0.0516856854743019,-0.0711909326378292,-0.0631433121000321
310,-0.0555022507140499,-0.0828825259628979,-0.0744181234862268
311,-0.0648844705364803,-0.0925974472378982,-0.0547864858113405
312,-0.0648952835400671,-0.0857799190788883,-0.0282384853567179
313,-0.0638627164582156,-0.0840528908674711,-0.022470653120714
314,-0.061481368111942,-0.081359495092359,-0.0333431062334947
315,-0.0590642851044772,-0.080044889976806,-0.0501541327387025
316,-0.0421976418339363,-0.0602505464581359,-0.0515380931819003
317,0.000490615936439589,-0.00701221698812487,-0.0315880075641407
318,0.0814874299801606,0.0648803399379839,0.0521950444153506
319,0.140266854324392,0.12457648507824,0.0981440827294578
320,0.147653866138309,0.156302894446362,0.127615041209808
321,0.137140965496856,0.163019648630019,0.12185298028181
322,0.129873204610931,0.164214053976845,0.125912605040447
323,0.106185061090196,0.144276822198987,0.12129308331705
324,0.0627129393341058,0.102625878383946,0.0736409284753672
325,0.0198008942386924,0.060821909228155,0.0333172533141922
326,0.0150097346802322,0.0546670922108355,0.0191845853571312
327,0.0260767251230836,0.0683234977751721,0.00946631792973706
328,0.0293642497091697,0.0703212639121408,-0.00216287591212802
329,0.0274099921246004,0.0645271905826119,-0.00683437594953651
330,0.014028130190338,0.0438198369111908,-0.0291464400791135
331,-0.00948979056683577,0.0177506236284474,-0.0530653246094274
332,-0.0467454050901139,-0.0181235547469317,-0.0727304445137835
333,-0.0746568060493529,-0.0479578421457059,-0.0712295252663109
334,-0.0910243073395663,-0.069675027932295,-0.0704463991496994
335,-0.0790843939220294,-0.065904040580229,-0.0522228566404135
336,-0.0521302097135703,-0.0463552966223965,-0.0338862706825474
337,-0.0362038941113506,-0.0309029910202552,-0.0242325000793865
338,-0.0275795511112026,-0.0257184487919274,-0.0159593183780171
339,-0.0330771505795006,-0.0361790209555527,-0.0358523942857497
340,-0.0354857169184996,-0.0433786584540082,-0.0393915204188282
341,-0.0479467797512415,-0.0588354510824579,-0.0425414519244636
342,-0.0742646348561678,-0.0870687041418551,-0.0755462287875744
343,-0.0798373269903263,-0.0951968980461307,-0.079741862124794
344,-0.0562502593989426,-0.0689016947655925,-0.0527812992025498
345,-0.0351729416802577,-0.0384496312484106,-0.0224802771893449
346,-0.0251737434928275,-0.0276990335835201,-0.0100284851530712
347,-0.0156962917876726,-0.0224938590970432,0.0199287671601865
348,-0.00586074300581024,-0.0158449752620608,0.0391296186444587
349,0.00411628713538535,-0.00480139965491046,0.0411610445896778
350,0.00939732873053343,0.0024528336543481,0.0200243890403249
351,0.00825670343240969,0.0049475119447545,0.00570897186727061
352,-0.000178735063093527,-0.00390203202127918,-0.0168739617125156
353,-0.00108699290162583,-0.00313578502083102,-0.00533172919352335
354,0.000523077872336603,-0.00286572121947071,0.0163342208386482
355,0.00558349738562914,0.00282486956459669,0.0280125302406185
356,0.00845848668086223,0.00905341864439607,0.0343569688624687
357,0.00951590346863135,0.00718915369678262,0.0301372248612144
358,0.00310687830584999,0.000659966718207971,0.0252033374101824
359,0.00542745305666807,0.00339393600838204,0.0293903961560303
360,0.009671408339969,0.00855489076273327,0.0369972135465279
361,0.0050042672767362,0.00184135716532845,0.0306179417843547
362,0.00293119273033805,-0.0031599328614871,0.0262130045111927
363,-0.00430743933290593,-0.0119337025144618,0.0253606606112169
364,-0.0315679551414073,-0.0402319757381355,-0.00243084491319528
365,-0.0566158442708141,-0.0634666706948367,-0.0314904214313
366,-0.053188763726269,-0.0595848901976483,-0.0369749525592176
367,-0.0352180961450189,-0.0387151928927508,-0.0305635256505282
368,-0.0209347175055782,-0.0214495602613951,-0.0145402219082217
369,-0.0127214942945556,-0.0122111266741591,-0.0100958845176359
370,-0.00648874171414769,-0.00533360655810432,-0.0107857455074427
371,-0.0015776082193635,0.000129563791930594,0.0156346591237139
372,0.00126109702306911,0.00294975401080199,0.0134223429942762
373,0.00366317895276175,0.00828630007413674,-0.00470770454247434
374,-0.000453564618290159,0.00445306569189786,-0.0213803787670261
375,-0.0157802641435919,-0.0106501883323979,-0.029992352749583
376,-0.0250513763210088,-0.0237137354116648,-0.0375714495762405
377,-0.0324773331620598,-0.0325092904997428,-0.0448619966261182
378,-0.062437995343145,-0.0636095757686578,-0.0808841269534814
379,-0.113644461729146,-0.110115765633314,-0.113215464746849
380,-0.131106684701919,-0.13563005257022,-0.103271339169334
381,-0.16012325907277,-0.178989917826985,-0.106372541733421
382,-0.181696388775995,-0.214584158914989,-0.116826341090607
383,-0.169235589611122,-0.207738692884888,-0.102407241187577
384,-0.147356493962083,-0.184206926283693,-0.078653194449476
385,-0.131406546553832,-0.168228125776412,-0.0704534912019721
386,-0.131650255671106,-0.168993438938375,-0.073353136321067
387,-0.120435942616945,-0.161543476541423,-0.067243507084755
388,-0.115797839342318,-0.155113491700681,-0.0768950232939131
389,-0.117769799099499,-0.157503518920919,-0.0929396604808615
390,-0.112673805032248,-0.150730963407311,-0.0833722032071958
391,-0.101652632517078,-0.140211999853525,-0.0666157763469661
392,-0.0810419906376367,-0.117654822285159,-0.0522068990573452
393,-0.0689021133250355,-0.103263913870783,-0.0470772365819791
394,-0.0486946023249039,-0.0758623573995332,-0.0233703520713027
395,-0.0141962793437947,-0.0277744168049785,0.0210605444857965
396,0.0233233635141201,0.012496350927123,0.0738149813212844
397,0.0569115876105859,0.0347357158348611,0.0925571945200447
398,0.0768484676438887,0.0536494944812874,0.0962897046789605
399,0.0784838479561751,0.0586521610565268,0.0937319035721053
400,0.0639942019997025,0.0542906653964496,0.0791906357137541
401,0.0489927067063395,0.0491697179904091,0.0615726266484204
402,0.042571562473563,0.0494909016770586,0.0547286826088182
403,0.0355777408924129,0.0434881228124552,0.0488969559020079
404,0.034172791697386,0.0401655698244394,0.0495512705155905
405,0.0354134508908707,0.037132845007195,0.0450433418845529
406,0.0410770290955115,0.0387010051727557,0.0376457448888568
407,0.039284453908241,0.0344576208762432,0.0444733333171957
408,0.0309981967068639,0.0241080745229987,0.0403635539582698
409,0.0245186238973393,0.0256667819665471,0.0478839160537485
410,0.00723173497366096,0.0192689754699718,0.0436501616483112
411,-0.016534084371584,-0.00463618007592887,0.0163639530105005
412,-0.0232784135264531,-0.0217424000472246,0.00974889485844896
413,-0.020545537527969,-0.0210440822767457,0.0101798550375903
414,-0.0123126033320026,-0.00724686592866993,0.0235692140243075
415,-0.00981626594745488,0.000302235811514459,0.0361969972417277
416,-0.00340229188864757,0.00808153632978962,0.0357129411980896
417,0.000800098670762786,0.0129158907605122,0.0328702617399295
418,0.00778977451048383,0.0217588933816627,0.0357693445842598
419,0.0181679613621898,0.034205423673729,0.0484642019151989
420,0.0290442230032871,0.0468267336805383,0.0631003047129166
421,0.0529460187687908,0.070905937749287,0.0756625073454509
422,0.0764155042732316,0.0945058723202076,0.0829927200355063
423,0.0907737727755968,0.107442317589934,0.0849690598342219
424,0.0876432033253094,0.112979952160794,0.101076745884721
425,0.0722784479495542,0.102605160583079,0.0879006416229997
426,0.0615998885113879,0.0893983674906127,0.0775452670246843
427,0.0515793836365812,0.076918555869302,0.0591541024434096
428,0.0525878881278789,0.0821403834969844,0.0556226647367924
429,0.0535368762268522,0.0857665307931816,0.0452404883679021
430,0.0519941986177524,0.0859231439276577,0.0227993991850091
431,0.0523256165127083,0.0900569281224663,0.0175562421292447
432,0.0539845923588047,0.0923414976045869,0.0287438027096678
433,0.0684313320186032,0.105009096459236,0.0639327522833936
434,0.0679732573287254,0.102961976655746,0.0698809457211147
435,0.0696583482392989,0.104606758724929,0.0653687081060399
436,0.0726127485281003,0.114643475304887,0.0694909893078746
437,0.0805897501469685,0.130874744712911,0.082519698723101
438,0.0942405933839947,0.154442879756994,0.103462481655502
439,0.101841098169271,0.160553320514897,0.106203550912903
440,0.114517786395972,0.160906904204656,0.108937816752334
441,0.105232306873455,0.146505381133695,0.092845221726101
442,0.0964265966884575,0.136167414119841,0.0837496564622831
443,0.086195457448641,0.124039432301668,0.0763845211591018
444,0.0773135433712879,0.119883124733077,0.0699071872830628
445,0.0727022419871195,0.123428058699566,0.059458716645373
446,0.0669678384331227,0.120788115884461,0.0445243592135261
447,0.0576656488331044,0.101153975596281,0.0325380036548816
448,0.0400667236181999,0.0780243560073611,0.0219863634440894
449,0.0155060372853568,0.0519624549812221,0.0257822307133122
450,0.00224296063909731,0.0403815596166747,0.0280700886674175
451,-0.00605212066113929,0.0295509055417693,0.0270943921358552
452,-0.0185916139588762,0.0132541914318733,0.0195160094273277
453,-0.028204453169131,-0.00170812990090961,-0.00242544354661703
454,-0.0332957627190583,-0.0226107570475441,-0.0196365178800191
455,-0.0533251796453015,-0.0542740358712352,-0.0599496804895093
456,-0.0708684607863328,-0.0720903105578481,-0.0823987725622414
457,-0.0735224176684226,-0.0732513852366384,-0.0842730065156699
458,-0.064509780826498,-0.0676943596984917,-0.0633806513297228
459,-0.0573725827649839,-0.0643427478854278,-0.0458420722986756
460,-0.0522075076271722,-0.0590533791758444,-0.0261266580580584
461,-0.0358595606311315,-0.0374002621518208,0.00306144649825634
462,-0.0227831034881342,-0.0196777761916411,0.0194204095152532
463,-0.0184363429821025,-0.0189543331507824,0.0020618637034565
464,-0.0228735560816143,-0.0311220303762843,-0.0191728491194402
465,-0.0278559715322556,-0.0386620537560943,-0.0198642446966064
466,-0.0243780197422007,-0.0331228457181498,0.00905746997841135
467,-0.0223822773873711,-0.0309152900258422,0.0242305313381357
468,-0.0287493822231628,-0.0396705726697015,0.0146551914261427
469,-0.0540426796962335,-0.0708294775792175,-0.00815798843566779
470,-0.0804044757539243,-0.104613979225402,-0.0249568651356217
471,-0.0944140197132793,-0.117397364172725,-0.0300572670496641
472,-0.090677636780773,-0.111560003530279,-0.0334693083172646
473,-0.0817169053741053,-0.104243646405725,-0.0459645570099382
474,-0.0739947998383841,-0.100809417464021,-0.031449517402754
475,-0.0770303966412968,-0.11065898814441,-0.0491314898618948
476,-0.0774516832164202,-0.117402665416784,-0.0708144239210378
477,-0.077898242419145,-0.111527780865852,-0.0635140634755034
478,-0.0749347654812898,-0.111283604239666,-0.0541795091193178
