"OBJECTID","FID_Ont1_glider_surf","Var1","latval","lonval","directval","speedval","Date","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
157,145,"03-Jun-2018 03:46:21",43.4585833333333,-77.8385666666667,336,0.02,"6/3/2018 3:46:21",7249,6006,"(157,77)",157,77,-132.015,0,0,0,0,0.192,0.001,4.808022,NA,4.808022,0,NA,"157-77",13.2207,206.529889769,10,132.207,"yes","Offshore zone",43.4636798231,-77.8320317051,1527997581,0.00301883958288987,56.7754551067772
158,41,"26-May-2018 17:02:45",43.4586166666667,-78.8353,284,0.04,"5/26/2018 17:02:45",3312,6551,"(92,80)",92,80,-135.312,0,0,0,0,0.192,0.001,4.739697,NA,4.739697,0,NA,"92-80",13.5504,157.883822534,10,135.504,"yes"," ",43.4561966965,-78.8306669467,1527354165,0.0268486992347044,164.721329865818
159,230,"12-Jun-2018 05:00:05",43.4632833333333,-78.7553333333333,103,0.08,"6/12/2018 5:00:05",3612,6349,"(97,79)",97,79,-141,0,0,0,0,0.192,0.001,4.681736,NA,4.681736,0,NA,"97-79",14.1192,154.11251052,10,141.192,"yes","Offshore zone",43.4594793242,-78.7567366474,1528779605,0.0235544643384313,346.086515457166
160,75,"29-May-2018 01:42:47",43.4659333333333,-78.5126166666667,65,0.03,"5/29/2018 1:42:47",4630,5963,"(114,77)",114,77,-153.791,0,0,0,0,0.192,0.001,4.620361,NA,4.620361,0,NA,"114-77",15.3983,146.044212352,10,153.983,"yes","Offshore zone",43.4707924231,-78.5177730167,1527558167,0.00909672456353329,338.150844606628
161,188,"06-Jun-2018 09:48:10",43.4661166666667,-77.3835833333333,275,0.03,"6/6/2018 9:48:10",9717,6642,"(183,80)",183,80,-198.776,0,0,0,0,0.192,0.001,4.536384,NA,4.536384,0,NA,"183-80",19.8968,211.368734993,10,198.968,"yes"," ",43.4695155757,-77.3872025786,1528278490,0.0193539503350762,215.187913784949
162,158,"04-Jun-2018 03:36:20",43.4684833333333,-77.8255,41,0.01,"6/4/2018 3:36:20",7249,6006,"(157,77)",157,77,-132.015,0,0,0,0,0.192,0.001,4.808022,NA,4.808022,0,NA,"157-77",13.2207,206.529889769,10,132.207,"yes","Offshore zone",43.4636798231,-77.8320317051,1528083380,0.00957287840403199,35.8837232242665
163,124,"01-Jun-2018 15:55:06",43.46915,-78.1350333333333,113,0.05,"6/1/2018 15:55:06",6132,5790,"(139,76)",139,76,-138.432,0,0,0,0,0.192,0.001,4.700411,NA,4.700411,0,NA,"139-76",13.8624,193.224552763,10,138.624,"yes","Offshore zone",43.4686557553,-78.1358536391,1527868506,0.0208562305414636,359.7055107011
164,114,"31-May-2018 19:42:20",43.4712,-78.1332666666667,311,0.03,"5/31/2018 19:42:20",6132,5790,"(139,76)",139,76,-138.432,0,0,0,0,0.192,0.001,4.700411,NA,4.700411,0,NA,"139-76",13.8624,193.224552763,10,138.624,"yes","Offshore zone",43.4686557553,-78.1358536391,1527795740,0.022098523776288,3.59162081302617
165,84,"29-May-2018 17:29:35",43.4731666666667,-78.50935,115,0.03,"5/29/2018 17:29:35",4690,5964,"(115,77)",115,77,-153.431,0,0,0,0,0.192,0.001,4.634308,NA,4.634308,0,NA,"115-77",15.3623,146.2383524,10,153.623,"yes","Offshore zone",43.471856202,-78.5041710799,1527614975,0.0111249589583077,346.497716911545
166,35,"26-May-2018 06:52:32",43.4754166666667,-78.8470333333333,354,0.02,"5/26/2018 6:52:32",3253,6979,"(91,82)",91,82,-138.729,0,0,0,0,0.192,0.001,4.795247,NA,4.795247,0,NA,"91-82",13.8921,163.919153307,10,138.921,"yes"," ",43.4763203874,-78.8545259085,1527317552,0.0297254404545129,160.253890475535
167,146,"03-Jun-2018 05:35:30",43.4765333333333,-77.8311666666667,336,0.02,"6/3/2018 5:35:30",7250,6206,"(157,78)",157,78,-134.726,0,0,0,0,0.192,0.001,4.716725,NA,4.716725,0,NA,"157-78",13.4918,207.287693712,10,134.918,"yes","Offshore zone",43.47723395,-77.8303381091,1528004130,0.00622551938483642,21.9996447416998
168,40,"26-May-2018 15:01:46",43.4769333333333,-78.8386333333333,292,0.03,"5/26/2018 15:01:46",3314,6980,"(92,82)",92,82,-139.735,0,0,0,0,0.192,0.001,4.81572,NA,4.81572,0,NA,"92-82",13.9927,163.555382147,10,139.927,"yes"," ",43.4795869726,-78.8404131554,1527346906,0.0311624241134353,161.086652930038
169,76,"29-May-2018 03:36:30",43.48505,-78.5151333333333,47,0.03,"5/29/2018 3:36:30",4631,6163,"(114,78)",114,78,-164.176,0,0,0,0,0.192,0.001,4.696125,NA,4.696125,0,NA,"114-78",16.4368,147.745193655,10,164.368,"yes","Offshore zone",43.4825599122,-78.5199942278,1527564990,0.0110524723560847,340.732295740741
170,189,"06-Jun-2018 11:51:17",43.4854,-77.3787833333333,277,0.03,"6/6/2018 11:51:17",9718,6853,"(183,81)",183,81,-192.85,0,0,0,0,0.192,0.001,4.709641,NA,4.709641,0,NA,"183-81",19.3042,208.522363154,10,193.042,"yes"," ",43.4833733243,-77.385958602,1528285877,0.0178205013884433,214.746125752939
171,157,"04-Jun-2018 01:42:01",43.4857833333333,-77.8160666666667,121,0.01,"6/4/2018 1:42:01",7317,6410,"(158,79)",158,79,-147.896,0,0,0,0,0.192,0.001,4.736325,NA,4.736325,0,NA,"158-79",14.8088,208.212853877,10,148.088,"yes","Offshore zone",43.4891775364,-77.8117796886,1528076521,0.0119370046496084,15.2646326698743
172,123,"01-Jun-2018 13:49:16",43.4881,-78.1355666666667,108,0.04,"6/1/2018 13:49:16",6134,6188,"(139,78)",139,78,-163.465,0,0,0,0,0.192,0.001,4.684522,NA,4.684522,0,NA,"139-78",16.3657,198.679352005,10,163.657,"yes","Offshore zone",43.494521089,-78.1354029537,1527860956,0.0180284707923371,3.08850350017891
173,39,"26-May-2018 12:57:32",43.49345,-78.8435,314,0.03,"5/26/2018 12:57:32",3315,7204,"(92,83)",92,83,-140.815,0,0,0,0,0.192,0.001,4.806867,NA,4.806867,0,NA,"92-83",14.1007,164.675246722,10,141.007,"yes"," ",43.4913513658,-78.8452920202,1527339452,0.0305250909588474,159.790814175755
174,83,"29-May-2018 15:35:47",43.4936666666667,-78.5121166666667,110,0.04,"5/29/2018 15:35:47",4692,6367,"(115,79)",115,79,-169.821,0,0,0,0,0.192,0.001,4.640319,NA,4.640319,0,NA,"115-79",17.0013,149.640315006,10,170.013,"yes","Offshore zone",43.495447593,-78.5082979492,1527608147,0.0130754617880726,346.284456192591
175,36,"26-May-2018 08:46:21",43.49575,-78.8499833333333,321,0.03,"5/26/2018 8:46:21",3315,7204,"(92,83)",92,83,-140.815,0,0,0,0,0.192,0.001,4.806867,NA,4.806867,0,NA,"92-83",14.1007,164.675246722,10,141.007,"yes"," ",43.4913513658,-78.8452920202,1527324381,0.0311850001335142,159.464634073701
176,147,"03-Jun-2018 07:31:11",43.4959166666667,-77.8220666666667,1,0.02,"6/3/2018 7:31:11",7251,6409,"(157,79)",157,79,-143.07,0,0,0,0,0.192,0.001,4.731248,NA,4.731248,0,NA,"157-79",14.3262,208.045497655,10,143.262,"yes","Offshore zone",43.4907880012,-77.8286435794,1528011071,0.0102123948725048,14.1981048953438
177,77,"29-May-2018 05:30:45",43.50375,-78.5174833333333,47,0.03,"5/29/2018 5:30:45",4633,6573,"(114,80)",114,80,-169.874,0,0,0,0,0.192,0.001,4.737313,NA,4.737313,0,NA,"114-80",17.0066,151.14715626,10,170.066,"yes","Offshore zone",43.5060947658,-78.5244389353,1527571845,0.010981176550467,333.339187636579
178,156,"03-Jun-2018 23:47:36",43.5042833333333,-77.8081166666667,9,0,"6/3/2018 23:47:36",7318,6617,"(158,80)",158,80,-155.943,0,0,0,0,0.192,0.001,4.682047,NA,4.682047,0,NA,"158-80",15.6135,208.970657819,10,156.135,"yes","Offshore zone",43.5027361796,-77.8100177215,1528069656,0.0129715860220271,7.49268347527449
179,190,"06-Jun-2018 13:51:27",43.5044666666667,-77.3725666666667,275,0.03,"6/6/2018 13:51:27",9820,7296,"(184,83)",184,83,-183.083,0,0,0,0,0.192,0.001,4.658214,NA,4.658214,0,NA,"184-83",18.3275,206.541811674,10,183.275,"no"," ",43.5099881134,-77.3668533493,1528293087,0.0175044375497065,210.664065578148
180,229,"12-Jun-2018 00:53:19",43.5085333333333,-78.7705333333333,102,0.08,"6/12/2018 0:53:19",3616,7209,"(97,83)",97,83,-149.283,0,0,0,0,0.192,0.001,4.72203,NA,4.72203,0,NA,"97-83",14.9475,162.371351881,10,149.475,"yes","Offshore zone",43.5065892561,-78.7742709851,1528764799,0.0332159324920169,339.365291961158
181,122,"01-Jun-2018 11:48:42",43.5089,-78.1361833333333,105,0.04,"6/1/2018 11:48:42",6135,6391,"(139,79)",139,79,-167.921,0,0,0,0,0.192,0.001,4.599877,NA,4.599877,0,NA,"139-79",16.8113,199.532185802,10,168.113,"yes","Offshore zone",43.5075159903,-78.1351827864,1527853722,0.0161946472165633,2.63191242434854
182,115,"31-May-2018 23:42:20",43.51385,-78.1304666666667,327,0.03,"5/31/2018 23:42:20",6135,6391,"(139,79)",139,79,-167.921,0,0,0,0,0.192,0.001,4.599877,NA,4.599877,0,NA,"139-79",16.8113,199.532185802,10,168.113,"yes","Offshore zone",43.5075159903,-78.1351827864,1527810140,0.0173775157387241,1.91970101053074
