"﻿FID_n2018L","Var1","currlats","currlons","directval","speedval","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
231,"14-Aug-2018 06:36:38",43.3318166667,-77.6209166667,349,0.05,8415,1329,"(171,50)",171,50,-36.4044,0,0,0,0,0.192,0.001,5.29003,NA,5.29003,0,NA,"171-50",3.6596,23.2410656337,10,36.596,"yes","",43.330928751,-77.6153677794,1534228598,0.0329529181815683,127.633582735549
5,"27-Jul-2018 21:15:45",43.3335166667,-78.9001,165,0.05,2750,4446,"(83,69)",83,69,-34.968,0,0,0,0,0.192,0.001,5.715465,NA,5.715465,0,NA,"83-69",3.516,31.3734301827,10,35.16,"yes","",43.3341557386,-78.8939186166,1532726145,0.113543614747405,354.6521256259
3,"27-Jul-2018 20:39:39",43.33395,-78.8997833333,190,0.06,2750,4446,"(83,69)",83,69,-34.968,0,0,0,0,0.192,0.001,5.715465,NA,5.715465,0,NA,"83-69",3.516,31.3734301827,10,35.16,"yes","",43.3341557386,-78.8939186166,1532723979,0.108263464923363,353.649899716977
4,"27-Jul-2018 20:39:39",43.33395,-78.8997833333,190,0.06,2750,4446,"(83,69)",83,69,-34.968,0,0,0,0,0.192,0.001,5.715465,NA,5.715465,0,NA,"83-69",3.516,31.3734301827,10,35.16,"yes","",43.3341557386,-78.8939186166,1532723979,0.108263464923363,353.649899716977
6,"27-Jul-2018 21:53:59",43.3340833333,-78.8993333333,138,0.1,2750,4446,"(83,69)",83,69,-34.968,0,0,0,0,0.192,0.001,5.715465,NA,5.715465,0,NA,"83-69",3.516,31.3734301827,10,35.16,"yes","",43.3341557386,-78.8939186166,1532728439,0.113543614747405,354.6521256259
183,"10-Aug-2018 11:37:28",43.3342166667,-77.3995666667,48,0.01,9701,3675,"(183,64)",183,64,-80.5111,0,0,0,0,0.192,0.001,4.860156,NA,4.860156,0,NA,"183-64",8.0703,22.3706540756,10,80.703,"yes","",43.3334499396,-77.3984695732,1533901048,0.0125114860675855,301.576917050178
2,"27-Jul-2018 20:23:49",43.3344333333,-78.8995333333,76,0.03,2751,4622,"(83,70)",83,70,-42.75,0,0,0,0,0.192,0.001,6.795772,NA,6.795772,0,NA,"83-70",4.2942,31.3741700267,10,42.942,"yes","",43.3367834144,-78.8955537483,1532723029,0.1063687715366,352.932174353254
216,"13-Aug-2018 02:08:48",43.3347833333,-77.4694833333,349,0.04,9294,3157,"(179,61)",179,61,-110.116,0,0,0,0,0.192,0.001,4.801904,NA,4.801904,0,NA,"179-61",11.0308,21.5185062832,10,110.308,"yes","",43.3353082241,-77.468994517,1534126128,0.0280617156274654,0.582421005795352
7,"27-Jul-2018 22:24:42",43.33495,-78.8994166667,80,0.06,2751,4622,"(83,70)",83,70,-42.75,0,0,0,0,0.192,0.001,6.795772,NA,6.795772,0,NA,"83-70",4.2942,31.3741700267,10,42.942,"yes","",43.3367834144,-78.8955537483,1532730282,0.111798635688004,353.947449535465
1,"27-Jul-2018 19:42:48",43.3352166667,-78.8997,334,0.02,2751,4622,"(83,70)",83,70,-42.75,0,0,0,0,0.192,0.001,6.795772,NA,6.795772,0,NA,"83-70",4.2942,31.3741700267,10,42.942,"yes","",43.3367834144,-78.8955537483,1532720568,0.1063687715366,352.932174353254
