"date","latitude","longitude","i_value","j_value","vertical_layer","temperature","layer_depth"
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,2,24.9913997650146,7.20983648300171
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,3,23.1260318756104,10.8147547245026
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,4,20.6589908599854,14.4196729660034
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,5,17.2983512878418,18.0245912075043
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,6,14.5898666381836,21.6295094490051
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,7,12.9126853942871,25.234427690506
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,8,11.2160997390747,28.8393459320068
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,9,10.2806034088135,32.4442641735077
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,10,9.46827697753906,36.0491824150085
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,1,27.0797176361084,3.38035273551941
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,2,25.6761016845703,6.76070547103882
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,3,23.5835571289062,10.1410582065582
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,4,21.0881080627441,13.5214109420776
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,5,18.4738941192627,16.901763677597
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,6,15.9264259338379,20.2821164131165
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,7,13.3825664520264,23.6624691486359
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,8,11.3932237625122,27.0428218841553
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,9,9.42487144470215,30.4231746196747
"29-Jul-2018 22:51:48",43.3265083072,-78.9856633052,76,72,10,8.68584823608398,33.8035273551941
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,1,27.9015789031982,9.15239810943604
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,2,21.8852519989014,18.3047962188721
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,3,14.9868011474609,27.4571943283081
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,4,7.02423095703125,36.6095924377441
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,5,4.14086961746216,45.7619905471802
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,6,4.03624677658081,54.9143886566162
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,7,4.03074216842651,64.0667867660522
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,8,4.02912187576294,73.2191848754883
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,9,4.02737903594971,82.3715829849243
"13-Aug-2018 00:15:37",43.326911004,-77.4523932551,180,56,10,4.02202224731445,91.5239810943604
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,1,26.2707901000977,4.54889249801636
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,2,23.4677886962891,9.09778499603271
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,3,19.3425941467285,13.6466774940491
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,4,16.4797916412354,18.1955699920654
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,5,14.1943092346191,22.7444624900818
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,6,12.6040554046631,27.2933549880981
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,7,11.0418176651001,31.8422474861145
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,8,9.62711620330811,36.3911399841309
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,9,7.91754245758057,40.9400324821472
"29-Jul-2018 14:35:22",43.3253290771,-79.0845612379,69,74,10,7.38089990615845,45.4889249801636
