I 	 	 J 	 lat 	 lon
182 	 	 25 	 43.27994497 	 -77.42130207
183 	 	 25 	 43.2784312 	 -77.40334633
184 	 	 25 	 43.27691467 	 -77.3853929
185 	 	 25 	 43.2754198 	 -77.36727521
166 	 	 26 	 43.30474804 	 -77.70366263
167 	 	 26 	 43.30332757 	 -77.68680166
168 	 	 26 	 43.3019046 	 -77.66994039
169 	 	 26 	 43.30046731 	 -77.65279841
170 	 	 26 	 43.29901644 	 -77.63537447
171 	 	 26 	 43.29756384 	 -77.61795148
172 	 	 26 	 43.29610771 	 -77.60052954
173 	 	 26 	 43.29464227 	 -77.58264426
174 	 	 26 	 43.29316639 	 -77.56429576
175 	 	 26 	 43.29168845 	 -77.54594705
176 	 	 26 	 43.29020764 	 -77.52760064
177 	 	 26 	 43.28873372 	 -77.5096356
178 	 	 26 	 43.28726595 	 -77.49205071
179 	 	 26 	 43.28579643 	 -77.47446801
180 	 	 26 	 43.28432424 	 -77.45688634
181 	 	 26 	 43.28283006 	 -77.43911949
182 	 	 26 	 43.2813129 	 -77.42116757
183 	 	 26 	 43.2797939 	 -77.4032179
184 	 	 26 	 43.27827206 	 -77.38526808
185 	 	 26 	 43.27677087 	 -77.36715037
165 	 	 27 	 43.30749136 	 -77.72039774
166 	 	 27 	 43.30608799 	 -77.70354454
167 	 	 27 	 43.30468212 	 -77.68669103
168 	 	 27 	 43.30327383 	 -77.66983968
169 	 	 27 	 43.30184568 	 -77.65270298
170 	 	 27 	 43.30039669 	 -77.63528225
171 	 	 27 	 43.29894511 	 -77.61786374
172 	 	 27 	 43.29749176 	 -77.60044495
173 	 	 27 	 43.29602671 	 -77.58254322
174 	 	 27 	 43.29454973 	 -77.56415862
175 	 	 27 	 43.29307068 	 -77.54577382
176 	 	 27 	 43.29158873 	 -77.52739132
177 	 	 27 	 43.29011275 	 -77.50941861
178 	 	 27 	 43.28864475 	 -77.49185675
179 	 	 27 	 43.28717404 	 -77.47429468
180 	 	 27 	 43.28570069 	 -77.45673487
181 	 	 27 	 43.2842033 	 -77.43898137
182 	 	 27 	 43.28268087 	 -77.42103429
183 	 	 27 	 43.28115655 	 -77.40308823
184 	 	 27 	 43.27962859 	 -77.38514454
185 	 	 27 	 43.27812189 	 -77.36702429
165 	 	 28 	 43.30881577 	 -77.72027097
166 	 	 28 	 43.307427 	 -77.70342525
167 	 	 28 	 43.30603671 	 -77.68658162
168 	 	 28 	 43.30464302 	 -77.66973774
169 	 	 28 	 43.30322315 	 -77.6526076
170 	 	 28 	 43.30177608 	 -77.6351913
171 	 	 28 	 43.30032724 	 -77.61777472
172 	 	 28 	 43.29887491 	 -77.60036041
173 	 	 28 	 43.29741025 	 -77.58244223
174 	 	 28 	 43.29593306 	 -77.56402148
175 	 	 28 	 43.29445294 	 -77.54560181
176 	 	 28 	 43.29296893 	 -77.52718204
