I	J	XCent	YCent	CUE	CVE	CUN	CVN	WNDSHLT	lat	lon
174	16	778648.5	4797348.8	0.99849	0.05498	-0.05498	0.99849	1	43.27740412	-77.56598723
175	16	780115.5	4797238.1	0.99808	0.06201	-0.06201	0.99808	1	43.27586527	-77.54799661
176	16	781582.5	4797127.3	0.99763	0.06879	-0.06879	0.99763	1	43.27432271	-77.53000714
177	16	783042.2	4797022.9	0.99765	0.06855	-0.06855	0.99765	1	43.27283761	-77.51210526
178	16	784494.4	4796924.9	0.99812	0.06135	-0.06135	0.99812	1	43.27141009	-77.49429338
179	16	785946.7	4796826.9	0.99854	0.05403	-0.05403	0.99854	1	43.26997977	-77.47648127
180	16	787399	4796728.9	0.99891	0.04659	-0.04659	0.99891	1	43.26854671	-77.45867019
181	16	788859	4796632.6	0.9991	0.04244	-0.04244	0.9991	1	43.26712323	-77.44076453
168	17	770078.6	4798287.4	0.99877	0.04958	-0.04958	0.99877	1	43.28896186	-77.67096288
169	17	771480.6	4798175.8	0.99889	0.04713	-0.04713	0.99889	1	43.28745469	-77.65376548
170	17	772903.5	4798069.8	0.99893	0.04623	-0.04623	0.99893	1	43.28598772	-77.63630915
171	17	774326.4	4797963.7	0.99897	0.04532	-0.04532	0.99897	1	43.28451721	-77.61885387
172	17	775749.3	4797857.7	0.99901	0.04442	-0.04442	0.99901	1	43.28304496	-77.60139954
173	17	777195.4	4797752	0.99886	0.04769	-0.04769	0.99886	1	43.28156423	-77.58366064
174	17	778664.9	4797646.6	0.99849	0.05498	-0.05498	0.99849	1	43.28007482	-77.56563475
175	17	780134.3	4797541.2	0.99808	0.06201	-0.06201	0.99808	1	43.27858263	-77.54761114
176	17	781603.8	4797435.9	0.99763	0.06879	-0.06879	0.99763	1	43.27708848	-77.52958731
177	17	783063.5	4797333	0.99765	0.06855	-0.06855	0.99765	1	43.27561677	-77.51168387
178	17	784513.4	4797232.6	0.99812	0.06135	-0.06135	0.99812	1	43.27416845	-77.49390072
179	17	785963.3	4797132.2	0.99854	0.05403	-0.05403	0.99854	1	43.27271739	-77.4761186
180	17	787413.1	4797031.8	0.99891	0.04659	-0.04659	0.99891	1	43.27126363	-77.45833873
181	17	788871.7	4796932.2	0.9991	0.04244	-0.04244	0.9991	1	43.26981095	-77.44045124
168	18	770086.9	4798508.8	0.9999	0.01418	-0.01418	0.9999	1	43.29094914	-77.67075207
169	18	771488.3	4798397.5	0.99995	0.01045	-0.01045	0.99995	1	43.28944483	-77.65356136
170	18	772910.8	4798291.5	0.99997	0.00826	-0.00826	0.99997	1	43.28797795	-77.63610938
171	18	774333.4	4798185.5	0.99998	0.00607	-0.00607	0.99998	1	43.2865084	-77.61865718
172	18	775756	4798079.5	0.99999	0.00389	-0.00389	0.99999	1	43.28503622	-77.60120599
173	18	777203.3	4797975.2	0.99993	0.01221	-0.01221	0.99993	1	43.28356758	-77.58345105
174	18	778675.5	4797872.5	0.99952	0.03103	-0.03103	0.99952	1	43.28210139	-77.56538999
175	18	780147.6	4797769.9	0.99876	0.04981	-0.04981	0.99876	1	43.2806333	-77.54733115
176	18	781619.7	4797667.2	0.99765	0.06853	-0.06853	0.99765	1	43.27916149	-77.52927342
177	18	783079.7	4797565	0.99739	0.07218	-0.07218	0.99739	1	43.27769589	-77.51136533
178	18	784527.5	4797463.3	0.99815	0.06074	-0.06074	0.99815	1	43.27623661	-77.49360809
179	18	785975.3	4797361.6	0.99879	0.04925	-0.04925	0.99879	1	43.2747746	-77.47585188
180	18	787423.1	4797260	0.99929	0.03771	-0.03771	0.99929	1	43.27331075	-77.45809665
181	18	788880.4	4797158.5	0.99953	0.03076	-0.03076	0.99953	1	43.27184143	-77.44022556
182	18	790347.3	4797057.3	0.9996	0.02841	-0.02841	0.9996	1	43.27036834	-77.42223728
183	18	791814.2	4796956.2	0.99966	0.02604	-0.02604	0.99966	1	43.26889335	-77.40425001
168	19	770089.1	4798661.2	0.9999	0.01418	-0.01418	0.9999	1	43.29231834	-77.67065018
169	19	771489.9	4798550.8	0.99995	0.01045	-0.01045	0.99995	1	43.2908223	-77.65346603
170	19	772912.1	4798445	0.99997	0.00826	-0.00826	0.99997	1	43.28935731	-77.63601726
171	19	774334.4	4798339.3	0.99998	0.00607	-0.00607	0.99998	1	43.28789054	-77.61856821
172	19	775756.6	4798233.5	0.99999	0.00389	-0.00389	0.99999	1	43.28642027	-77.60112145
173	19	777205.2	4798129.3	0.99993	0.01221	-0.01221	0.99993	1	43.28495203	-77.58335006
174	19	778680.3	4798026.6	0.99952	0.03103	-0.03103	0.99952	1	43.28348473	-77.56525292
175	19	780155.3	4797923.9	0.99876	0.04981	-0.04981	0.99876	1	43.28201463	-77.54715805
176	19	781630.3	4797821.2	0.99765	0.06853	-0.06853	0.99765	1	43.28054169	-77.52906424
177	19	783090.8	4797719	0.99739	0.07218	-0.07218	0.99739	1	43.27907586	-77.5111496
178	19	784536.9	4797617.1	0.99815	0.06074	-0.06074	0.99815	1	43.27761538	-77.49341299
179	19	785982.9	4797515.3	0.99879	0.04925	-0.04925	0.99879	1	43.27615311	-77.47567858
180	19	787428.9	4797413.4	0.99929	0.03771	-0.03771	0.99929	1	43.27468721	-77.45794525
181	19	788885.2	4797311.6	0.99953	0.03076	-0.03076	0.99953	1	43.27321554	-77.44008622
182	19	790351.6	4797209.8	0.9996	0.02841	-0.02841	0.9996	1	43.27173722	-77.42210401
183	19	791818.1	4797107.9	0.99966	0.02604	-0.02604	0.99966	1	43.27025515	-77.40412168
167	20	768712.6	4798927	0.99981	0.01951	-0.01951	0.99981	1	43.29520012	-77.68746037
168	20	770091.2	4798813.6	0.9999	0.01418	-0.01418	0.9999	1	43.29368757	-77.67054952
169	20	771491.5	4798704.2	0.99995	0.01045	-0.01045	0.99995	1	43.29220068	-77.65337064
170	20	772913.4	4798598.6	0.99997	0.00826	-0.00826	0.99997	1	43.29073756	-77.63592508
171	20	774335.3	4798493	0.99998	0.00607	-0.00607	0.99998	1	43.28927181	-77.61848051
172	20	775757.2	4798387.5	0.99999	0.00389	-0.00389	0.99999	1	43.28780432	-77.6010369
173	20	777207.1	4798283.4	0.99993	0.01221	-0.01221	0.99993	1	43.28633647	-77.58324907
174	20	778685	4798180.7	0.99952	0.03103	-0.03103	0.99952	1	43.28486811	-77.56511707
175	20	780163	4798078	0.99876	0.04981	-0.04981	0.99876	1	43.28339686	-77.54698489
176	20	781640.9	4797975.3	0.99765	0.06853	-0.06853	0.99765	1	43.2819228	-77.528855
177	20	783102	4797872.9	0.99739	0.07218	-0.07218	0.99739	1	43.28045489	-77.51093268
178	20	784546.2	4797770.9	0.99815	0.06074	-0.06074	0.99815	1	43.27899418	-77.4932191
179	20	785990.5	4797668.9	0.99879	0.04925	-0.04925	0.99879	1	43.27753071	-77.47550532
180	20	787434.7	4797566.8	0.99929	0.03771	-0.03771	0.99929	1	43.27606367	-77.45779384
181	20	788889.9	4797464.6	0.99953	0.03076	-0.03076	0.99953	1	43.27458879	-77.43994816
182	20	790356	4797362.2	0.9996	0.02841	-0.02841	0.9996	1	43.27310515	-77.42196955
183	20	791822.1	4797259.7	0.99966	0.02604	-0.02604	0.99966	1	43.27161781	-77.40399207
167	21	768715.5	4799077.8	0.99981	0.01951	-0.01951	0.99981	1	43.2965547	-77.68735101
168	21	770093.4	4798966	0.9999	0.01418	-0.01418	0.9999	1	43.29505676	-77.67044762
169	21	771493.1	4798857.5	0.99995	0.01045	-0.01045	0.99995	1	43.29357815	-77.6532753
170	21	772914.6	4798752.2	0.99997	0.00826	-0.00826	0.99997	1	43.29211785	-77.63583412
171	21	774336.2	4798646.8	0.99998	0.00607	-0.00607	0.99998	1	43.29065398	-77.61839276
172	21	775757.8	4798541.5	0.99999	0.00389	-0.00389	0.99999	1	43.28918837	-77.60095234
173	21	777209	4798437.4	0.99993	0.01221	-0.01221	0.99993	1	43.28772002	-77.58314812
174	21	778689.8	4798334.8	0.99952	0.03103	-0.03103	0.99952	1	43.28625145	-77.56497998
175	21	780170.6	4798232.1	0.99876	0.04981	-0.04981	0.99876	1	43.28477912	-77.54681295
176	21	781651.5	4798129.4	0.99765	0.06853	-0.06853	0.99765	1	43.2833039	-77.52864574
177	21	783113.1	4798026.9	0.99739	0.07218	-0.07218	0.99739	1	43.28183486	-77.51071694
178	21	784555.6	4797924.7	0.99815	0.06074	-0.06074	0.99815	1	43.28037295	-77.49302398
