"I_Value","J_Value","TP_Base","TP_Slow_Settling","Conc_Change","Percent_Change"
27,89,5.97694543102989e-06,6.4394885157526e-06,4.62543084722711e-07,7.73878714571115
27,90,6.095222033764e-06,6.51422533337609e-06,4.19003299612086e-07,6.87429099860596
27,91,6.19878892393899e-06,6.58106318951468e-06,3.82274265575688e-07,6.16691857500407
27,92,6.27811505182763e-06,6.63691662339261e-06,3.58801571564982e-07,5.71511621884869
27,93,6.29214309810777e-06,6.64741082800901e-06,3.55267729901243e-07,5.64621186075826
28,77,6.32028331892798e-06,6.62084084979142e-06,3.00557530863443e-07,4.75544395238318
28,78,6.32985438642208e-06,6.63333685224643e-06,3.03482465824345e-07,4.79446204126485
28,79,6.41872202322702e-06,6.69762994220946e-06,2.78907918982441e-07,4.3452250770975
28,80,6.37667244518525e-06,6.66912001179298e-06,2.92447566607734e-07,4.58620964337832
28,81,6.35459446129971e-06,6.6572793002706e-06,3.0268483897089e-07,4.76324399321278
28,82,6.35752076050267e-06,6.66840742269414e-06,3.10886662191479e-07,4.89006129752532
28,83,6.1486730373872e-06,6.5240556068602e-06,3.75382569473004e-07,6.10509889191503
28,84,6.08798291068524e-06,6.49835965305101e-06,4.1037674236577e-07,6.74076698943262
28,85,5.99543318458018e-06,6.44506553726387e-06,4.49632352683693e-07,7.49958074489288
28,86,5.93904360357556e-06,6.41809037915664e-06,4.79046775581082e-07,8.06605924382633
28,87,5.91743491895613e-06,6.40992675471352e-06,4.92491835757392e-07,8.32272500673771
28,88,5.9262424656481e-06,6.41737051410018e-06,4.91128048452083e-07,8.28734314026034
28,89,5.96469544689171e-06,6.43681642031879e-06,4.72120973427081e-07,7.91525699225952
28,90,6.05788136454066e-06,6.49227240501205e-06,4.34391040471382e-07,7.17067592333611
28,91,6.17363139099325e-06,6.56634301776648e-06,3.92711626773234e-07,6.36111231626436
28,92,6.25065922577051e-06,6.61839612803305e-06,3.6773690226255e-07,5.88316990224691
28,93,6.3407392190129e-06,6.68528173264349e-06,3.44542513630586e-07,5.43379094660547
28,94,6.32908313491498e-06,6.67698350298451e-06,3.47900368069531e-07,5.49685255594616
29,77,6.25601524006925e-06,6.57441114526591e-06,3.18395905196667e-07,5.08943621424334
29,78,6.3139341364149e-06,6.62079446556163e-06,3.0686032914673e-07,4.86004957474845
29,79,6.43886232865043e-06,6.71273573971121e-06,2.73873411060777e-07,4.25344411919085
29,80,6.38366736893659e-06,6.67573931423249e-06,2.92071945295902e-07,4.5753001905636
29,81,6.35537344351178e-06,6.66032292429009e-06,3.04949480778305e-07,4.79829365636458
29,82,6.29297574050725e-06,6.62781440041726e-06,3.34838659910019e-07,5.32083188807955
29,83,6.23262212684494e-06,6.59515217193984e-06,3.625300450949e-07,5.81665369272786
