"I_Value","J_Value","TP_Base","TP_25Percent_GeneseeRiver","Conc_Change","Percent_Change"
21,91,6.30748354524258e-06,6.30748354524258e-06,0,0
22,81,6.28492080068099e-06,6.28492080068099e-06,0,0
22,82,6.29384248895803e-06,6.29384248895803e-06,0,0
22,83,6.50401216262253e-06,6.50401216262253e-06,0,0
22,84,6.44153806206305e-06,6.44153806206305e-06,0,0
22,85,6.32740193395875e-06,6.32740193395875e-06,0,0
22,86,6.22291190666147e-06,6.22291190666147e-06,0,0
22,87,6.14044802205171e-06,6.14044802205171e-06,0,0
22,88,6.11366704106331e-06,6.11366704106331e-06,0,0
22,89,6.19054117123596e-06,6.19054117123596e-06,0,0
22,90,6.24315362074412e-06,6.24315362074412e-06,0,0
22,91,6.33610534350737e-06,6.33610534350737e-06,0,0
23,81,6.25071334070526e-06,6.25071334070526e-06,0,0
23,82,6.27744248049567e-06,6.27744248049567e-06,0,0
23,83,6.45102727503399e-06,6.45102727503399e-06,0,0
23,84,6.40950429442455e-06,6.40950429442455e-06,0,0
23,85,6.28475845587673e-06,6.28475845587673e-06,0,0
23,86,6.1649884628423e-06,6.1649884628423e-06,0,0
23,87,6.04290926276008e-06,6.04290926276008e-06,0,0
23,88,6.04023898631567e-06,6.04023898631567e-06,0,0
23,89,6.11981431575259e-06,6.11981431575259e-06,0,0
23,90,6.20943092144444e-06,6.20943092144444e-06,0,0
23,91,6.32376577414107e-06,6.32376577414107e-06,0,0
23,92,6.27700819677557e-06,6.27700819677557e-06,0,0
24,81,6.3156803662423e-06,6.3156803662423e-06,0,0
24,82,6.38638857708429e-06,6.38638857708429e-06,0,0
24,83,6.43252860754728e-06,6.43252860754728e-06,0,0
24,84,6.39646441413788e-06,6.39646441413788e-06,0,0
24,85,6.27536110187066e-06,6.27536110187066e-06,0,0
24,86,6.06751518716919e-06,6.06751518716919e-06,0,0
24,87,5.98363840254024e-06,5.98363840254024e-06,0,0
24,88,5.99641498411074e-06,5.99641498411074e-06,0,0
24,89,6.06907906330889e-06,6.06907906330889e-06,0,0
24,90,6.17510659139953e-06,6.17510659139953e-06,0,0
24,91,6.29474425295484e-06,6.29474425295484e-06,0,0
24,92,6.29704436505563e-06,6.29704436505563e-06,0,0
25,80,6.40769076198922e-06,6.40769076198922e-06,0,0
25,81,6.38895153315389e-06,6.38895153315389e-06,0,0
25,82,6.45835643808823e-06,6.45835643808823e-06,0,0
25,83,6.41086808172986e-06,6.41086808172986e-06,0,0
25,84,6.3652832977823e-06,6.3652832977823e-06,0,0
25,85,6.164963451738e-06,6.164963451738e-06,0,0
25,86,5.99783061261405e-06,5.99783061261405e-06,0,0
25,87,5.94433458900312e-06,5.94433458900312e-06,0,0
25,88,5.97064672547276e-06,5.97064672547276e-06,0,0
25,89,6.03112357566715e-06,6.03112357566715e-06,0,0
25,90,6.14586815572693e-06,6.14586815572693e-06,0,0
25,91,6.25892607786227e-06,6.25892607786227e-06,0,0
25,92,6.32949831924634e-06,6.32949831924634e-06,0,0
26,79,6.27039435130428e-06,6.27039435130428e-06,0,0
26,80,6.36640425000223e-06,6.36640425000223e-06,0,0
26,81,6.37709354123217e-06,6.37709354123217e-06,0,0
26,82,6.39620202491642e-06,6.39620202491642e-06,0,0
26,83,6.38881465420127e-06,6.38881465420127e-06,0,0
26,84,6.30294107395457e-06,6.30294107395457e-06,0,0
26,85,6.06138200964779e-06,6.06138200964779e-06,0,0
26,86,5.94967787037604e-06,5.94967787037604e-06,0,0
26,87,5.9206777223153e-06,5.9206777223153e-06,0,0
26,88,5.94770699535729e-06,5.94770699535729e-06,0,0
26,89,6.00171961195883e-06,6.00171961195883e-06,0,0
26,90,6.12236271990696e-06,6.12236271990696e-06,0,0
26,91,6.22765719526797e-06,6.22765719526797e-06,0,0
26,92,6.31346983936965e-06,6.31346983936965e-06,0,0
26,93,6.2676358538738e-06,6.2676358538738e-06,0,0
27,78,6.24287986283889e-06,6.24287986283889e-06,0,0
27,79,6.39975314697949e-06,6.39975314697949e-06,0,0
27,80,6.39932704871171e-06,6.39932704871171e-06,0,0
27,81,6.38527853880078e-06,6.38527853880078e-06,0,0
