"I_Value","J_Value","TP_Base","TP_ZeroSettling","Conc_Change","Percent_Change"
19,89,6.29747773928102e-06,7.40201085136505e-06,1.10453311208403e-06,17.5392936317093
19,90,6.32597766525578e-06,7.38239305064781e-06,1.05641538539203e-06,16.6996382423888
19,91,6.31909460935276e-06,7.3768756010395e-06,1.05778099168674e-06,16.7394390664945
20,83,6.08085019848659e-06,7.32791295376956e-06,1.24706275528297e-06,20.5080328338517
20,84,6.4617770476616e-06,7.34509148969664e-06,8.83314442035044e-07,13.669837809627
20,85,6.32802357358742e-06,7.35513367544627e-06,1.02711010185885e-06,16.231135834353
20,86,6.22948073214502e-06,7.37220580049325e-06,1.14272506834823e-06,18.343825392245
20,87,6.17734440311324e-06,7.38756170903798e-06,1.21021730592474e-06,19.5912228127482
20,88,6.20542550677783e-06,7.39662027626764e-06,1.19119476948981e-06,19.1960207755091
20,89,6.27051485935226e-06,7.40519772080006e-06,1.1346828614478e-06,18.0955294245968
20,90,6.31358989267028e-06,7.39292090656818e-06,1.0793310138979e-06,17.0953614701985
20,91,6.3112406678556e-06,7.38279231882188e-06,1.07155165096628e-06,16.9784628309915
21,83,6.48520699542132e-06,7.32912531020702e-06,8.43918314785697e-07,13.0129742255185
21,84,6.45353838990559e-06,7.33534079699893e-06,8.81802407093346e-07,13.6638593251825
21,85,6.34329171589343e-06,7.34917784939171e-06,1.00588613349828e-06,15.8574787121643
21,86,6.22738298261538e-06,7.37006575945998e-06,1.14268277684459e-06,18.3493255519141
21,87,6.12818030276685e-06,7.38700919100665e-06,1.2588288882398e-06,20.5416424786237
21,88,6.16821080257068e-06,7.40130690246588e-06,1.23309609989519e-06,19.9911471796859
21,89,6.20763194092433e-06,7.40207315175212e-06,1.19444121082779e-06,19.2414953430685
21,90,6.27652752882568e-06,7.39299184715492e-06,1.11646431832924e-06,17.7879299214692
21,91,6.30748354524258e-06,7.38915423426079e-06,1.08167068901821e-06,17.1490053245412
22,81,6.28492080068099e-06,7.30026067685685e-06,1.01533987617586e-06,16.1551737623463
22,82,6.29384248895803e-06,7.31627505956567e-06,1.02243257060763e-06,16.2449659711281
22,83,6.50401216262253e-06,7.32805756342714e-06,8.24045400804607e-07,12.6698010428126
22,84,6.44153806206305e-06,7.33377191863838e-06,8.92233856575331e-07,13.851254901839
22,85,6.32740193395875e-06,7.34645209377049e-06,1.01905015981174e-06,16.1053489322776
22,86,6.22291190666147e-06,7.37447135179536e-06,1.1515594451339e-06,18.5051542172915
22,87,6.14044802205171e-06,7.39748156775022e-06,1.2570335456985e-06,20.4713653007764
22,88,6.11366704106331e-06,7.40494942874648e-06,1.29128238768317e-06,21.121241621601
22,89,6.19054117123596e-06,7.40721543479594e-06,1.21667426355998e-06,19.6537625694696
22,90,6.24315362074412e-06,7.39074994271505e-06,1.14759632197092e-06,18.3816768204743
22,91,6.33610534350737e-06,7.40231644158484e-06,1.06621109807747e-06,16.8275468962969
23,81,6.25071334070526e-06,7.30183819541708e-06,1.05112485471182e-06,16.8160783804752
23,82,6.27744248049567e-06,7.29798648535507e-06,1.0205440048594e-06,16.2573214813244
23,83,6.45102727503399e-06,7.32076114218216e-06,8.6973386714817e-07,13.4820987428485
23,84,6.40950429442455e-06,7.33437127564684e-06,9.24866981222294e-07,14.4296179351469
23,85,6.28475845587673e-06,7.34991999706835e-06,1.06516154119163e-06,16.9483290196399
23,86,6.1649884628423e-06,7.38254993848386e-06,1.21756147564156e-06,19.7496148286418
23,87,6.04290926276008e-06,7.3973687904072e-06,1.35445952764712e-06,22.4140305397946
23,88,6.04023898631567e-06,7.40464201953728e-06,1.36440303322161e-06,22.5885604247232
23,89,6.11981431575259e-06,7.40140421839897e-06,1.28158990264637e-06,20.9416468625122
23,90,6.20943092144444e-06,7.38926291887765e-06,1.17983199743321e-06,19.0006461519466
23,91,6.32376577414107e-06,7.40586756364792e-06,1.08210178950685e-06,17.111667764985
23,92,6.27700819677557e-06,7.39958386475337e-06,1.1225756679778e-06,17.8839286613399
24,81,6.3156803662423e-06,7.28964641893981e-06,9.73966052697506e-07,15.421395577639
24,82,6.38638857708429e-06,7.30124202164006e-06,9.14853444555774e-07,14.3250513731416
24,83,6.43252860754728e-06,7.32047737983521e-06,8.87948772287928e-07,13.8040392272193
24,84,6.39646441413788e-06,7.33604474589811e-06,9.39580331760226e-07,14.6890574374729
24,85,6.27536110187066e-06,7.35683852326474e-06,1.08147742139408e-06,17.2337082095833
24,86,6.06751518716919e-06,7.38199378247373e-06,1.31447859530454e-06,21.6641995076374
24,87,5.98363840254024e-06,7.40384257369442e-06,1.42020417115418e-06,23.734792706579
24,88,5.99641498411074e-06,7.41143594495952e-06,1.41502096084878e-06,23.5977824182998
24,89,6.06907906330889e-06,7.40415907785064e-06,1.33508001454175e-06,21.9980659440257
24,90,6.17510659139953e-06,7.39183997211512e-06,1.2167333807156e-06,19.7038441799567
24,91,6.29474425295484e-06,7.40560426493175e-06,1.11086001197691e-06,17.6474208853752
24,92,6.29704436505563e-06,7.40807490728912e-06,1.11103054223349e-06,17.6436829379664
25,80,6.40769076198922e-06,7.28528038962395e-06,8.77589627634734e-07,13.6958798455232
25,81,6.38895153315389e-06,7.29354678696836e-06,9.04595253814477e-07,14.1587434044585
25,82,6.45835643808823e-06,7.31417594579398e-06,8.55819507705746e-07,13.2513514221442
25,83,6.41086808172986e-06,7.32781654733117e-06,9.16948465601308e-07,14.3030312574126
25,84,6.3652832977823e-06,7.34678769731545e-06,9.81504399533151e-07,15.4196498979882
25,85,6.164963451738e-06,7.37065602152143e-06,1.20569256978342e-06,19.5571730347163
25,86,5.99783061261405e-06,7.39856795917149e-06,1.40073734655743e-06,23.3540664454835
25,87,5.94433458900312e-06,7.41840813134331e-06,1.47407354234019e-06,24.7979571181473
25,88,5.97064672547276e-06,7.42437805456575e-06,1.45373132909299e-06,24.3479709307015
25,89,6.03112357566715e-06,7.41370513424044e-06,1.38258155857329e-06,22.9241125841192
25,90,6.14586815572693e-06,7.39967390472884e-06,1.25380574900191e-06,20.4007915111809
25,91,6.25892607786227e-06,7.40440600566217e-06,1.1454799277999e-06,18.3015410878784
25,92,6.32949831924634e-06,7.41802750781062e-06,1.08852918856428e-06,17.1977166856076
26,79,6.27039435130428e-06,7.25524887457141e-06,9.84854523267131e-07,15.7064208100767
26,80,6.36640425000223e-06,7.27718907000963e-06,9.10784820007393e-07,14.3061103920172
26,81,6.37709354123217e-06,7.28854820408742e-06,9.11454662855249e-07,14.2926343633206
26,82,6.39620202491642e-06,7.31093314243481e-06,9.14731117518386e-07,14.3011605004821
26,83,6.38881465420127e-06,7.33200386093813e-06,9.43189206736861e-07,14.7631330346486
26,84,6.30294107395457e-06,7.35254343453562e-06,1.04960236058105e-06,16.6525808866956
26,85,6.06138200964779e-06,7.38098151487065e-06,1.31959950522287e-06,21.7706045110255
26,86,5.94967787037604e-06,7.41759549782728e-06,1.46791762745124e-06,24.6722202349834
26,87,5.9206777223153e-06,7.43726968721603e-06,1.51659196490073e-06,25.615175086876
26,88,5.94770699535729e-06,7.44108592698467e-06,1.49337893162738e-06,25.1084818534788
26,89,6.00171961195883e-06,7.4272757046856e-06,1.42555609272677e-06,23.7524607095314
26,90,6.12236271990696e-06,7.4110666901106e-06,1.28870397020364e-06,21.0491280762148
26,91,6.22765719526797e-06,7.40602035875781e-06,1.17836316348985e-06,18.9214519448055
