"I_Value","J_Value","TP_Base","TP_25Percent_NiagaraRiver","Conc_Change","Percent_Change"
30,82,6.22237030256656e-06,6.41585302219028e-06,1.93482719623717e-07,3.10946970712929
30,83,6.0940146795474e-06,6.20568653175724e-06,1.11671852209838e-07,1.83248413537021
30,84,6.02256022830261e-06,6.09232620263356e-06,6.97659743309487e-08,1.15841057102407
30,85,5.96646623307606e-06,6.00400289840763e-06,3.75366653315723e-08,0.629127256657915
30,86,5.95766550759436e-06,5.97534153712331e-06,1.76760295289569e-08,0.296693889685899
30,87,5.96342124481453e-06,5.97237431065878e-06,8.9530658442527e-09,0.150133044048126
30,88,5.97294138060533e-06,5.97987173023284e-06,6.93034962750971e-09,0.116029091630016
30,89,5.97795769863296e-06,5.98766109760618e-06,9.70339897321537e-09,0.162319632596837
30,90,6.01974761593738e-06,6.03642320129438e-06,1.66755853570066e-08,0.277014692656844
30,91,6.13055271969642e-06,6.15181079410831e-06,2.12580744118895e-08,0.346756245054234
30,92,6.21038407189189e-06,6.23335108684842e-06,2.29670149565209e-08,0.369816338098464
30,93,6.27734698355198e-06,6.30039312454755e-06,2.30461409955751e-08,0.367131864081451
30,94,6.34876641925075e-06,6.36997492620139e-06,2.12085069506429e-08,0.334057130946484
30,95,6.32501041764044e-06,6.34388970865984e-06,1.88792910194024e-08,0.298486322911787
31,75,6.41106635157485e-06,6.76656964060385e-06,3.55503289029002e-07,5.54515067437533
31,76,6.32126057098503e-06,6.67478889226913e-06,3.53528321284102e-07,5.59268704895379
31,77,6.34479420114076e-06,6.69233759253984e-06,3.47543391399086e-07,5.4776148820808
31,78,6.2820781749906e-06,6.6189827521157e-06,3.36904577125097e-07,5.36294786120838
31,79,6.38378378425841e-06,6.71682482789038e-06,3.33041043631965e-07,5.21698501840243
31,80,6.34398475085618e-06,6.65949801259558e-06,3.15513261739397e-07,4.97342402496816
31,81,6.28385669187992e-06,6.53724828225677e-06,2.5339159037685e-07,4.03242153348733
31,82,6.10783445154084e-06,6.25456368652522e-06,1.46729234984377e-07,2.40231191838151
31,83,6.03813214183901e-06,6.12372605246492e-06,8.55939106259029e-08,1.41755610204042
31,84,5.98756605540984e-06,6.03631724516163e-06,4.87511897517834e-08,0.81420713025347
31,85,5.97119242229383e-06,5.99477516516345e-06,2.35827428696211e-08,0.394941934571954
31,86,5.98098722548457e-06,5.99113081989344e-06,1.01435944088735e-08,0.169597326101155
31,87,5.9951107687084e-06,6.00055955146672e-06,5.44878275832161e-09,0.0908871073202124
31,88,6.00443308940157e-06,6.00908470005379e-06,4.65161065221764e-09,0.0774696059221344
31,89,6.00299017605721e-06,6.00948033024906e-06,6.49015419185162e-09,0.108115355872769
31,90,6.01700230618007e-06,6.03017997491406e-06,1.3177668733988e-08,0.219007207633162
31,91,6.10769347986206e-06,6.12643907516031e-06,1.87455952982418e-08,0.306917748247333
31,92,6.19230013398919e-06,6.21357503405306e-06,2.12749000638723e-08,0.343570234057222
31,93,6.24612721367157e-06,6.26794644631445e-06,2.18192326428834e-08,0.349324179551216
31,94,6.30323665973265e-06,6.32383898846456e-06,2.06023287319113e-08,0.32685316836549
31,95,6.39586278339266e-06,6.41340648144251e-06,1.75436980498489e-08,0.274297598994813
32,75,6.37343555354164e-06,6.72473106533289e-06,3.5129551179125e-07,5.51187046358442
32,76,6.35879905530601e-06,6.71615271130577e-06,3.57353655999759e-07,5.61982935600977
32,77,6.29244595984346e-06,6.63783566778875e-06,3.45389707945287e-07,5.48895787344798
32,78,6.28301313554402e-06,6.61640569887822e-06,3.33392563334201e-07,5.30625284623622
32,79,6.29917485639453e-06,6.62440606902237e-06,3.25231212627841e-07,5.16307643528401
32,80,6.33025729257497e-06,6.63469609207823e-06,3.04438799503259e-07,4.80926422785925
32,81,6.26905193712446e-06,6.50285983283538e-06,2.33807895710925e-07,3.72955748422416
32,82,6.09833250564407e-06,6.22688048679265e-06,1.28547981148586e-07,2.10792017374607
32,83,6.00761768509983e-06,6.07243964623194e-06,6.4821961132111e-08,1.0789961101034
32,84,5.98434598941822e-06,6.01716146775289e-06,3.2815478334669e-08,0.548355298852954
32,85,5.98829728915007e-06,6.00243356529973e-06,1.41362761496566e-08,0.236065035970567
32,86,6.0082197705924e-06,6.01423880652874e-06,6.01903593633324e-09,0.100180022804655
32,87,6.03059652348747e-06,6.0342258620949e-06,3.62933860742487e-09,0.0601820830375506
32,88,6.04064462095266e-06,6.04413935434422e-06,3.49473339156248e-09,0.0578536499141267
32,89,6.03049466008088e-06,6.03533771936782e-06,4.84305928694084e-09,0.0803094863676721
32,90,6.0220963860047e-06,6.03244188823737e-06,1.03455022326671e-08,0.171792372116626
32,91,6.08637765253661e-06,6.10269853495993e-06,1.63208824233152e-08,0.268154284125192
32,92,6.17082469034358e-06,6.19034017290687e-06,1.95154825632926e-08,0.316254042896915
32,93,6.22249808657216e-06,6.24300446361303e-06,2.05063770408742e-08,0.329552163063352
32,94,6.2665340010426e-06,6.28637280897237e-06,1.98388079297729e-08,0.316583424369391
32,95,6.37026914773742e-06,6.38749088466284e-06,1.72217369254213e-08,0.270345514860044
32,96,6.39993868389865e-06,6.41404722045991e-06,1.41085365612525e-08,0.220447995802642
33,75,6.35467768006492e-06,6.70774898026139e-06,3.53071300196461e-07,5.55608510725998
33,76,6.31983857601881e-06,6.67756376060424e-06,3.57725184585433e-07,5.66035319229281
33,77,6.25665325060254e-06,6.59824036119971e-06,3.41587110597175e-07,5.45958193486715
