"I_Value","J_Value","TP_Base","TP_25IC","Conc_Change","Percent_Change"
35,90,6.08284699410433e-06,7.59308932174463e-06,1.5102423276403e-06,24.8278861708024
35,91,6.07146284892224e-06,7.57370617066044e-06,1.50224332173821e-06,24.7426914916374
35,92,6.11697896601981e-06,7.62610079618753e-06,1.50912183016771e-06,24.6710318696693
35,93,6.16285569776664e-06,7.68039626564132e-06,1.51754056787468e-06,24.6239834631308
35,94,6.19671527601895e-06,7.7215263445396e-06,1.52481106852065e-06,24.6067634319364
35,95,6.24248923486448e-06,7.77881450630957e-06,1.53632527144509e-06,24.6107796688647
35,96,6.26499013378634e-06,7.80771642894251e-06,1.54272629515617e-06,24.6245606491291
35,97,6.44495912638376e-06,8.03369857749203e-06,1.58873945110827e-06,24.6508848225963
36,74,6.3125767155725e-06,7.52071309761959e-06,1.20813638204709e-06,19.1385615808317
36,75,6.33125637250487e-06,7.5461625783646e-06,1.21490620585973e-06,19.1890224369334
36,76,6.22487004875438e-06,7.44427779864054e-06,1.21940774988616e-06,19.5892884563938
36,77,6.1262808230822e-06,7.36316087568412e-06,1.23688005260192e-06,20.1897380861433
36,78,6.17269961367128e-06,7.44934186514001e-06,1.27664225146873e-06,20.6820731830401
36,79,6.21946946921526e-06,7.53502581574139e-06,1.31555634652614e-06,21.1522277428613
36,80,6.17167688687914e-06,7.53856693336274e-06,1.3668900464836e-06,22.1477901636358
36,81,6.10544475421193e-06,7.52140067561413e-06,1.4159559214022e-06,23.191691652363
36,82,6.06428875471465e-06,7.5211009971099e-06,1.45681224239524e-06,24.0228046737163
36,83,6.04409524385119e-06,7.52832329453668e-06,1.48422805068549e-06,24.5566621769475
