OBJECTID,I_Value,J_Value,RASTERVALU
362,38,85,6.93104
363,38,86,7.14496
364,38,87,7.37448
365,38,88,7.61385
366,38,89,7.86317
367,38,90,8.12347
368,38,91,8.40124
369,38,92,8.7697
370,38,93,9.07054
371,38,94,9.37031
372,38,95,9.57885
373,38,96,9.66991
374,38,97,9.68212
375,38,98,9.56151
376,39,73,7.17542
377,39,74,7.23786
378,39,75,7.27945
379,39,76,7.23136
380,39,77,7.07693
381,39,78,6.90313
382,39,79,6.71729
383,39,80,6.54497
384,39,81,6.44632
385,39,82,6.41511
386,39,83,6.46646
387,39,84,6.59048
388,39,85,6.76987
389,39,86,6.9926
390,39,87,7.22526
391,39,88,7.46325
392,39,89,7.70281
393,39,90,7.94374
394,39,91,8.18536
395,39,92,8.49681
396,39,93,8.70334
397,39,94,8.88728
398,39,95,8.99672
399,39,96,9.05375
400,39,97,9.11777
401,39,98,9.09695
402,39,99,9.05207
403,40,72,7.13713
404,40,73,7.16487
405,40,74,7.23179
406,40,75,7.28167
407,40,76,7.22597
408,40,77,7.04971
409,40,78,6.82423
410,40,79,6.61787
411,40,80,6.41493
412,40,81,6.28185
413,40,82,6.21851
414,40,83,6.25624
415,40,84,6.39836
416,40,85,6.59892
417,40,86,6.83859
418,40,87,7.07714
419,40,88,7.3139
420,40,89,7.54446
421,40,90,7.76763
422,40,91,7.97861
423,40,92,8.24465
424,40,93,8.37822
425,40,94,8.47265
426,40,95,8.50456
427,40,96,8.58255
428,40,97,8.63142
429,40,98,8.69061
430,40,99,8.72909
431,41,72,7.11687
432,41,73,7.13393
433,41,74,7.18559
434,41,75,7.22053
435,41,76,7.14948
436,41,77,6.96514
437,41,78,6.73391
438,41,79,6.49808
439,41,80,6.28969
440,41,81,6.08692
441,41,82,5.99603
442,41,83,6.03379
443,41,84,6.19326
444,41,85,6.42691
445,41,86,6.6883
446,41,87,6.93817
447,41,88,7.17369
448,41,89,7.39529
449,41,90,7.60292
450,41,91,7.8816
451,41,92,8.02411
452,41,93,8.12225
453,41,94,8.12886
454,41,95,8.09997
455,41,96,8.14536
456,41,97,8.22283
457,41,98,8.34465
458,41,99,8.45746
459,41,100,8.53531
460,42,69,7.10981
461,42,71,7.08589
462,42,72,7.07341
463,42,73,7.07081
464,42,74,7.09666
465,42,75,7.09629
466,42,76,7.01196
467,42,77,6.83546
468,42,78,6.62174
